mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.025504255294799806,0.003409783495522264,0.0012613773345947266,8.426059344441875e-05,1e-05,balanced,1000,"{'C': 1e-05, 'class_weight': 'balanced', 'max_iter': 1000}",0.6908761528326746,0.6771170006464124,0.6457659987071752,0.7010342598577892,0.6368631368631368,0.6703313097814376,0.0250374935908947,39,0.6962148962148962,0.6744121856471069,0.6777652831731753,0.6638315272950317,0.6667681380010146,0.675798406066245,0.011378710045071079
0.03534355163574219,0.007628718031156414,0.001379108428955078,0.00017229754399799907,1e-05,,1000,"{'C': 1e-05, 'class_weight': None, 'max_iter': 1000}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,42,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.030505037307739256,0.001301155494138627,0.0012500762939453125,0.00018395376400676396,0.0001,balanced,1000,"{'C': 0.0001, 'class_weight': 'balanced', 'max_iter': 1000}",0.7017457180500659,0.7175177763413056,0.6695216548157725,0.7157401422107303,0.6533466533466533,0.6915743889529056,0.02572229292971373,27,0.7136548636548636,0.7079022694745452,0.7122469842567982,0.7065324064608465,0.7140537798072044,0.7108780607308516,0.0030792798634137423
0.031983375549316406,0.0015607813219548363,0.0012882232666015625,6.306437773388644e-05,0.0001,,1000,"{'C': 0.0001, 'class_weight': None, 'max_iter': 1000}",0.5,0.5,0.5147058823529411,0.5,0.5151515151515151,0.5059714795008913,0.007314896445163332,41,0.5,0.5074626865671642,0.503731343283582,0.5074626865671642,0.5037037037037037,0.5044720840243229,0.0027937805146865083
0.054538393020629884,0.01261144368278322,0.0015253067016601563,0.00013233718273003364,0.001,balanced,1000,"{'C': 0.001, 'class_weight': 'balanced', 'max_iter': 1000}",0.7071805006587615,0.7357789269553976,0.6712992889463478,0.6661279896574015,0.6863136863136863,0.6933400785063188,0.025566687365533632,25,0.7586894586894587,0.7413923533019833,0.7341647924759762,0.7308116949499079,0.7420091324200913,0.7414134863674835,0.009630742493605064
0.05538234710693359,0.001216175640778989,0.0014344215393066405,4.30712516998788e-05,0.001,,1000,"{'C': 0.001, 'class_weight': None, 'max_iter': 1000}",0.68066534914361,0.6085972850678734,0.5919521654815773,0.6654815772462831,0.7011322011322011,0.6495657156143089,0.04213629728902827,40,0.664041514041514,0.6919034962175424,0.6864240441627479,0.6756082600695155,0.6627092846270929,0.6761373198236825,0.011672956495202893
0.12126626968383789,0.013840769722788396,0.0019578456878662108,0.0006178039463576311,0.01,balanced,1000,"{'C': 0.01, 'class_weight': 'balanced', 'max_iter': 1000}",0.7355072463768115,0.7412734324499031,0.6822882999353588,0.7357789269553976,0.7041292041292042,0.7197954219693351,0.022872924503614625,2,0.8336487586487586,0.8286342261296258,0.8429462277652832,0.8449294622776529,0.8271435819381026,0.8354604513518845,0.007276660147418987
0.1489567279815674,0.021731868806353354,0.002125072479248047,0.0006838834762743204,0.01,,1000,"{'C': 0.01, 'class_weight': None, 'max_iter': 1000}",0.7055335968379447,0.6895604395604396,0.68939883645766,0.6931157078215902,0.6998001998001998,0.6954817560955668,0.006282524072463302,20,0.7895502645502646,0.7810774892659988,0.7653956246166428,0.7620425270905745,0.7734145104008118,0.7742960831848584,0.010087839092886932
0.4347358226776123,0.05750133494874024,0.0021318435668945313,0.0008214572221773631,0.1,balanced,1000,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000}",0.7160737812911726,0.7063671622495152,0.7189722042663219,0.7448287007110537,0.7467532467532467,0.726599019054262,0.016228315692008045,1,0.9623728123728124,0.9559292578204867,0.962400327131466,0.9702412594561439,0.9665651953323187,0.9635017704226454,0.004788234650091274
0.463792610168457,0.09922591635651999,0.007829618453979493,0.006874723070047001,0.1,,1000,"{'C': 0.1, 'class_weight': None, 'max_iter': 1000}",0.6577733860342556,0.7079831932773109,0.6801874595992243,0.7097608274078862,0.6874791874791875,0.6886368107595728,0.019213480727584747,29,0.9106939356939356,0.9249948885708444,0.9161623389899816,0.9124309957063995,0.92181633688483,0.9172196991691983,0.005444592342104684
2.000696563720703,0.08617260875060379,0.003395748138427734,0.0011797654135605213,1.0,balanced,1000,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 1000}",0.6760540184453228,0.7209114414996768,0.7281835811247577,0.7171945701357466,0.7329337329337329,0.7150554688278474,0.020258138918465732,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.4793156147003175,0.6261981463277081,0.0030178070068359376,0.0014386149609659342,1.0,,1000,"{'C': 1.0, 'class_weight': None, 'max_iter': 1000}",0.671772068511199,0.7189722042663219,0.6913380736910149,0.6840659340659341,0.7329337329337329,0.6998164026936405,0.022672213392295276,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.3502695560455322,0.035556971007071315,0.0019111156463623047,0.0004426944825923359,10.0,balanced,1000,"{'C': 10.0, 'class_weight': 'balanced', 'max_iter': 1000}",0.6706192358366272,0.7319004524886878,0.7189722042663219,0.6730769230769231,0.7219447219447219,0.7033027075226564,0.026048785821476687,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
