mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_jobs,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.002143526077270508,0.00016032727473812232,2.0589240074157713,0.15166030952758258,-1,2,4,"{'n_jobs': -1, 'n_neighbors': 2, 'p': 4}",0.6714426877470356,0.6018099547511313,0.7559793148028442,0.631060116354234,0.7649017649017649,0.6850387677114019,0.06547708460426883,10,0.9326923076923077,0.9424657534246575,0.9315068493150684,0.9246575342465753,0.9232876712328767,0.9309220231822971,0.006844863593582321
0.0018558979034423828,6.712986606590699e-05,2.2536707878112794,0.002675962212331316,-1,2,5,"{'n_jobs': -1, 'n_neighbors': 2, 'p': 5}",0.6617259552042161,0.600032320620556,0.7192954104718812,0.6751777634130576,0.7649017649017649,0.6842266429222951,0.055525022899333525,11,0.9285714285714286,0.9383561643835616,0.9246575342465753,0.9246575342465753,0.9123287671232877,0.9257142857142856,0.008359257345886483
0.0017850875854492187,2.9820970423060393e-05,0.0979280948638916,0.0017206471953310025,-1,3,1,"{'n_jobs': -1, 'n_neighbors': 3, 'p': 1}",0.6123188405797101,0.5995475113122172,0.6601486748545572,0.7005494505494505,0.7632367632367631,0.6671602481065396,0.059956250575151526,19,0.8187627187627188,0.8655285217746882,0.814516458801881,0.8335514209773052,0.8137493658041604,0.8292216972241508,0.01950363721875824
0.0018204212188720702,2.4648191938503284e-05,0.014464473724365235,0.0003825103929563795,-1,3,2,"{'n_jobs': -1, 'n_neighbors': 3, 'p': 2}",0.6286231884057971,0.6215255332902392,0.7097608274078862,0.6748545572074984,0.7219447219447219,0.6713417656512285,0.04087922955472338,16,0.8210927960927961,0.8553261091801267,0.8233490083827438,0.8498466571253322,0.8160832064941654,0.8331395554550328,0.016144774234404326
0.0018104076385498046,4.117471604346961e-05,2.251442289352417,0.010966246461761874,-1,3,3,"{'n_jobs': -1, 'n_neighbors': 3, 'p': 3}",0.6068840579710145,0.6013251454427925,0.729961215255333,0.6913380736910149,0.7164502164502164,0.6691917417620743,0.05459830530662193,17,0.8261701261701262,0.8346861582498466,0.8078102637497444,0.8362911470047025,0.7868594622019279,0.8183634314752697,0.0187224373655739
0.0017967700958251953,3.270887417827244e-05,2.2473708152770997,0.01064092651333416,-1,3,4,"{'n_jobs': -1, 'n_neighbors': 3, 'p': 4}",0.6371870882740448,0.5811247575953459,0.7097608274078862,0.695054945054945,0.7026307026307026,0.665151664192585,0.04925728476063902,20,0.8215099715099715,0.8352995297485177,0.8037006747086486,0.8382743815170721,0.7878234398782344,0.817321599472489,0.019159532998547925
0.0017868995666503907,3.409749125069022e-05,2.2207658767700194,0.031537611420155834,-1,3,5,"{'n_jobs': -1, 'n_neighbors': 3, 'p': 5}",0.6534914361001317,0.573852617970265,0.695054945054945,0.706043956043956,0.7122877122877123,0.668146133491402,0.05140979536544104,18,0.8205535205535206,0.8329380494786343,0.8148947045593948,0.8190042936004907,0.7938609842719432,0.8162503104927967,0.01270985655555636
0.0017919063568115235,5.2724132768409614e-05,0.09841089248657227,0.0016899549215340897,-1,4,1,"{'n_jobs': -1, 'n_neighbors': 4, 'p': 1}",0.655467720685112,0.6548157724628313,0.6969941822882999,0.6695216548157725,0.7221112221112221,0.6797821104726476,0.02610667976953557,13,0.8325702075702075,0.8560314864035985,0.8219280310774892,0.8389797587405439,0.8354642313546423,0.8369947430292963,0.011092904711811511
0.0018321037292480468,8.786751688394516e-06,0.014727163314819335,0.0003590527568240017,-1,4,2,"{'n_jobs': -1, 'n_neighbors': 4, 'p': 2}",0.6445981554677207,0.6658047834518424,0.7668067226890756,0.664027149321267,0.7124542124542124,0.6907382046768238,0.044095497592330904,8,0.8122608872608872,0.8597628296871805,0.8083725209568595,0.8495604170926191,0.823947234906139,0.8307807779807371,0.020417873603111657
0.0017980098724365234,4.8167775811669635e-05,2.237005043029785,0.010855675363000248,-1,4,3,"{'n_jobs': -1, 'n_neighbors': 4, 'p': 3}",0.7160737812911726,0.6585326438267615,0.7226890756302521,0.6914996767937944,0.7027972027972028,0.6983184760678367,0.02262142546514883,6,0.8339438339438339,0.8526783888775302,0.8411061132692701,0.8485687998364342,0.8298325722983257,0.8412259416450787,0.008578209959124934
0.0018064022064208985,4.4204784912718025e-05,2.236967611312866,0.005439232908951666,-1,4,4,"{'n_jobs': -1, 'n_neighbors': 4, 'p': 4}",0.6651844532279314,0.6383322559793148,0.7024886877828054,0.6805106658047835,0.7082917082917083,0.6789615542173087,0.02552148931990665,14,0.8316137566137567,0.8530566346350439,0.8261807401349417,0.8424759762829688,0.8072044647387113,0.8321063144810845,0.015504212109068412
0.0017891883850097655,1.8522285062304684e-05,2.2368040084838867,0.028045672170155467,-1,4,5,"{'n_jobs': -1, 'n_neighbors': 4, 'p': 5}",0.655467720685112,0.6199095022624435,0.7189722042663219,0.7007110536522301,0.6931401931401932,0.6776401348012602,0.03551140930031615,15,0.8306573056573057,0.8420977305254549,0.8224493968513596,0.8312819464322224,0.7923896499238965,0.823775205878048,0.01688928804124438
0.001789426803588867,3.10496058960469e-05,0.09948201179504394,0.00014209126452509083,-1,5,1,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 1}",0.6371870882740448,0.6270200387847447,0.645442792501616,0.6674208144796381,0.681984681984682,0.6518110832049452,0.020115277832802234,23,0.7526353276353277,0.7803209977509711,0.7591596810468206,0.7652525046002863,0.7295281582952815,0.7573793338657374,0.01667135250118663
0.001801443099975586,2.10956121628293e-05,0.014534997940063476,0.00034062155410314194,-1,5,2,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 2}",0.6274703557312253,0.645442792501616,0.6711376858435683,0.6307369101486748,0.6874791874791875,0.6524533863408544,0.023327303212823804,22,0.7424806674806674,0.7846657125332244,0.7326620323042323,0.7856573297894092,0.7184170471841704,0.7527765578583407,0.027529034924479133
